SchoolN,State Name,NCESSCH,School Name,Agency Name
HEBRON - HARMAN ELEMENTARY,Maryland,240006000078,Hebron - Harman Elementary,Anne Arundel County Public Schools
HENRY E. LACKEY HIGH SCHOOL,Maryland,240027000597,Henry E. Lackey High School,Charles County Public Schools
HERBERT HOOVER MIDDLE,Maryland,240048000849,Herbert Hoover Middle,Montgomery County Public Schools
HEREFORD HIGH,Maryland,240012001432,Hereford High,Baltimore County Public Schools
HEREFORD MIDDLE,Maryland,240012001422,Hereford Middle,Baltimore County Public Schools
HERNWOOD ELEMENTARY,Maryland,240012000405,Hernwood Elementary,Baltimore County Public Schools
HICKORY ELEMENTARY,Maryland,240039000698,Hickory Elementary,Harford County Public Schools
HICKORY ELEMENTARY,Maryland,240066001271,Hickory Elementary,Washingtion County Public Schools
HIGH BRIDGE ELEMENTARY,Maryland,240051001058,High Bridge Elementary,Prince George's County Public Schools
HIGH POINT ELEMENTARY,Maryland,240006000079,High Point Elementary,Anne Arundel County Public Schools
HIGH POINT HIGH,Maryland,240051001059,High Point High,Prince George's County Public Schools
HIGHLAND ELEMENTARY,Maryland,240048000850,Highland Elementary,Montgomery County Public Schools
HIGHLAND PARK ELEMENTARY,Maryland,240051001135,Highland Park Elementary,Prince George's County Public Schools
HIGHLAND VIEW ELEMENTARY,Maryland,240048000851,Highland View Elementary,Montgomery County Public Schools
HIGHLANDTOWN ELEMENTARY/MIDDLE #215,Maryland,240009000243,Highlandtown Elementary/Middle #215,Baltimore City Public Schools
HIGHLANDTOWN ELEMENTARY/MIDDLE #237,Maryland,240009000244,Highlandtown Elementary/Middle #237,Baltimore City Public Schools
HILLCREST ELEMENTARY,Maryland,240012000406,Hillcrest Elementary,Baltimore County Public Schools
HILLCREST ELEMENTARY,Maryland,240033090473,Hillcrest Elementary,Frederick County Public Schools
HILLCREST HEIGHTS ELEMENTARY,Maryland,240051001060,Hillcrest Heights Elementary,Prince George's County Public Schools
HILLSMERE ELEMENTARY,Maryland,240006000080,Hillsmere Elementary,Anne Arundel County Public Schools
HILLTOP ELEMENTARY,Maryland,240006000081,Hilltop Elementary,Anne Arundel County Public Schools
HILTON ELEMENTARY,Maryland,240009000246,Hilton Elementary,Baltimore City Public Schools
HOLABIRD ACADEMY,Maryland,240009000247,Holabird Elementary/Middle,Baltimore City Public Schools
HOLABIRD MIDDLE,Maryland,240012000408,Holabird Middle,Baltimore County Public Schools
HOLLIFIELD STATION ELEMENTARY,Maryland,240042000856,Hollifield Station Elementary,Howard County Public Schools
HOLLY HALL ELEMENTARY,Maryland,240024000570,Holly Hall Elementary,Cecil County Public Schools
HOLLYWOOD ELEMENTARY,Maryland,240060001227,Hollywood Elementary,St. Mary's County Public Schools
HOLLYWOOD ELEMENTARY,Maryland,240051001063,Hollywood Elementary,Prince George's County Public Schools
HOME ASSIGNMENTS-ELEMENTARY,Maryland,240012000925,Home Assignments-Elementary,Baltimore County Public Schools
HOME ASSIGNMENTS-SECONDARY,Maryland,240012000935,Home Assignments-Secondary,Baltimore County Public Schools
HOMESTEAD/WAKEFIELD ELEMENTARY,Maryland,240039000701,Homestead/Wakefield Elementary,Harford County Public Schools
HOMEWOOD SCHOOL,Maryland,240042001189,Homewood School,Howard County Public Schools
HONEYGO ELEMENTARY,MARYLAND,240012001750,Honeygo Elementary,Baltimore County Public Schools
HOWARD B. OWENS SCIENCE CENTER,Maryland,240051002952,Howard B. Owens Science Center,Prince George's County Public Schools
HOWARD HIGH,Maryland,240042000738,Howard High,Howard County Public Schools
HUNTINGTOWN ELEMENTARY,Maryland,240015000511,Huntingtown Elementary,Calvert County Public Schools
HUNTINGTOWN HIGH SCHOOL,Maryland,240015001342,Huntingtown High School,Calvert County Public Schools
HURLOCK ELEMENTARY SCHOOL,Maryland,240030000614,Hurlock Elementary School,Dorchester County Public Schools
HYATTSVILLE ELEMENTARY,Maryland,240051001064,Hyattsville Elementary,Prince George's County Public Schools
HYATTSVILLE MIDDLE,Maryland,240051001065,Hyattsville Middle,Prince George's County Public Schools
ILCHESTER ELEMENTARY,Maryland,240042000813,Ilchester Elementary,Howard County Public Schools
IMAGINE ANDREWS PUBLIC CHARTER,Maryland,240051001701,Imagine Andrews Public Charter,Prince George's County Public Schools
IMAGINE FOUNDATIONS AT LEELAND PCS,Maryland,240051001637,Imagine Foundations at Leeland PCS,Prince George's County Public Schools
IMAGINE FOUNDATIONS AT MORNINGSIDE PCS,Maryland,240051001706,Imagine Foundations at Morningside PCS,Prince George's County Public Schools
IMAGINE LINCOLN PUBLIC CHARTER,Maryland,240051001648,Imagine Lincoln Public Charter,Prince George's County Public Schools
INDEPENDENCE SCHOOL LOCAL I,Maryland,240009001632,Independence School Local I,Baltimore City Public Schools
INDIAN HEAD ELEMENTARY SCHOOL,Maryland,240027000591,Indian Head Elementary School,Charles County Public Schools
INDIAN QUEEN ELEMENTARY,Maryland,240051001066,Indian Queen Elementary,Prince George's County Public Schools
INTERNATIONAL HIGH SCHOOL @ LANGLEY PARK,MARYLAND,240051001738,International High School @ Langley Park,Prince George's County Public Schools
INTERNATIONAL HIGH SCHOOL @ LARGO,MARYLAND,240051001737,International High school @ Largo,Prince George's County Public Schools
ISAAC J. GOURDINE MIDDLE,Maryland,240051001095,Isaac J. Gourdine Middle,Prince George's County Public Schools
J. C. PARKS ELEMENTARY SCHOOL,Maryland,240027000592,J. C. Parks Elementary School,Charles County Public Schools
J. FRANK DENT ELEMENTARY,Maryland,240051001068,J. Frank Dent Elementary,Prince George's County Public Schools
J. P. RYON ELEMENTARY SCHOOL,Maryland,240027000593,J. P. Ryon Elementary School,Charles County Public Schools
JACKSON ROAD ELEMENTARY,Maryland,240048000854,Jackson Road Elementary,Montgomery County Public Schools
JACKSONVILLE ELEMENTARY,Maryland,240012000467,Jacksonville Elementary,Baltimore County Public Schools
JACOBSVILLE ELEMENTARY,Maryland,240006000082,Jacobsville Elementary,Anne Arundel County Public Schools
JAMES E. DUCKWORTH REGIONAL CENTER,Maryland,240051001354,James E. Duckworth Regional Center,Prince George's County Public Schools
JAMES H. HARRISON ELEMENTARY,Maryland,240051001069,James H. Harrison Elementary,Prince George's County Public Schools
JAMES HUBERT BLAKE HIGH,Maryland,240048001044,James Hubert Blake High,Montgomery County Public Schools
JAMES M. BENNETT HIGH,Maryland,240069001305,James M. Bennett High,Wicomico County Public Schools
JAMES MADISON MIDDLE,Maryland,240051001475,James Madison Middle,Prince George's County Public Schools
JAMES MCHENRY ELEMENTARY,Maryland,240051001071,James McHenry Elementary,Prince George's County Public Schools
JAMES MCHENRY ELEMENTARY/MIDDLE,Maryland,240009000253,James McHenry Elementary/Middle,Baltimore City Public Schools
JAMES RYDER RANDALL ELEMENTARY,Maryland,240051001072,James Ryder Randall Elementary,Prince George's County Public Schools
JARRETTSVILLE ELEMENTARY,Maryland,240039000702,Jarrettsville Elementary,Harford County Public Schools
JEFFERS HILL ELEMENTARY,Maryland,240042000740,Jeffers Hill Elementary,Howard County Public Schools
JESSUP ELEMENTARY,Maryland,240006000083,Jessup Elementary,Anne Arundel County Public Schools
JOANN LELECK AT BROAD ACRES ELEMENTARY,Maryland,240048000788,JoAnn Leleck at Broad Acres Elementary,Montgomery County Public Schools
JOHN F. KENNEDY HIGH,Maryland,240048000855,John F. Kennedy High,Montgomery County Public Schools
JOHN H. BAYNE ELEMENTARY,Maryland,240051001075,John H. Bayne Elementary,Prince George's County Public Schools
JOHN H. POOLE MIDDLE,Maryland,240048000861,John H. Poole Middle,Montgomery County Public Schools
JOHN HANSON MIDDLE SCHOOL,Maryland,240027000595,John Hanson Middle School,Charles County Public Schools
JOHN HANSON MONTESSORI,Maryland,240051000870,John Hanson Montessori,Prince George's County Public Schools
JOHN HUMBIRD ELEMENTARY,Maryland,240003000019,John Humbird Elementary,Allegany County Public Schools
JOHN L GILDNER REGIONAL INST FOR CHILDREN & ADOL,Maryland,240048001398,John L Gildner Regional Inst for Children & Adol,Montgomery County Public Schools
JOHN RUHRAH ELEMENTARY/MIDDLE,Maryland,240009000257,John Ruhrah Elementary/Middle,Baltimore City Public Schools
JOHN T. BAKER MIDDLE SCHOOL,Maryland,240048001456,John T. Baker Middle School,Montgomery County Public Schools
JOHNNYCAKE ELEMENTARY,Maryland,240012000410,Johnnycake Elementary,Baltimore County Public Schools
JOHNSTON SQUARE ELEMENTARY,Maryland,240009000258,Johnston Square Elementary,Baltimore City Public Schools
JONATHAN HAGER ELEMENTARY,MARYLAND,240066001740,Jonathan Hager Elementary,Washingtion County Public Schools
JONES ELEMENTARY,Maryland,240006000084,Jones Elementary,Anne Arundel County Public Schools
JONES LANE ELEMENTARY,MARYLAND,240048010503,Jones Lane Elementary,Montgomery County Public Schools
JOPPA VIEW ELEMENTARY,Maryland,240012090444,Joppa View Elementary,Baltimore County Public Schools
JOPPATOWNE ELEMENTARY,Maryland,240039000704,Joppatowne Elementary,Harford County Public Schools
JOPPATOWNE HIGH,Maryland,240039000705,Joppatowne High,Harford County Public Schools
JOSEPH C. BRISCOE ACADEMY,Maryland,240009001662,Joseph C. Briscoe Academy,Baltimore City Public Schools
JUDGE SYLVANIA W. WOODS SR. ELEMENTARY,Maryland,240051001137,Judge Sylvania W. Woods Sr. Elementary,Prince George's County Public Schools
JUDITH A. RESNIK ELEMENTARY,Maryland,240048090479,Judith A. Resnik Elementary,Montgomery County Public Schools
JUDITH P. HOYER MONTESSORI,Maryland,240051000414,Judith P. Hoyer Montessori,Prince George's County Public Schools
JULIUS WEST MIDDLE,Maryland,240048000857,Julius West Middle,Montgomery County Public Schools
KATHERINE JOHNSON GLOBAL ACADEMY,Maryland,240009000164,Calverton Elementary/Middle,Baltimore City Public Schools
KEMP MILL ELEMENTARY,Maryland,240048000858,Kemp Mill Elementary,Montgomery County Public Schools
KEMPTOWN ELEMENTARY,Maryland,240033001412,Kemptown Elementary,Frederick County Public Schools
KENILWORTH ELEMENTARY,Maryland,240051001077,Kenilworth Elementary,Prince George's County Public Schools
KENMOOR EARLY CHILDHOOD CENTER,MARYLAND,240051001731,Kenmoor Early Childhood Center,Prince George's County Public Schools
KENMOOR MIDDLE,Maryland,240051001473,Kenmoor Middle,Prince George's County Public Schools
KENMORE ELEMENTARY,Maryland,240024001491,Kenmore Elementary,Cecil County Public Schools
KENNARD ELEMENTARY SCHOOL,Maryland,240054001070,Kennard Elementary School,Queen Anne's County Public Schools
KENSINGTON PARKWOOD ELEMENTARY,Maryland,240048000892,Kensington Parkwood Elementary,Montgomery County Public Schools
KENT COUNTY HIGH,Maryland,240045000768,Kent County High,Kent County Public Schools
KENT COUNTY MIDDLE SCHOOL,Maryland,240045000766,Kent County Middle School,Kent County Public Schools
KENT ISLAND ELEMENTARY SCHOOL,Maryland,240054001194,Kent Island Elementary School,Queen Anne's County Public Schools
KENT ISLAND HIGH SCHOOL,Maryland,240054001076,Kent Island High School,Queen Anne's County Public Schools
KENWOOD HIGH,Maryland,240012000412,Kenwood High IB and Sports Science,Baltimore County Public Schools
KETTERING ELEMENTARY,Maryland,240051001082,Kettering Elementary,Prince George's County Public Schools
KETTERING MIDDLE,Maryland,240051001472,Kettering Middle,Prince George's County Public Schools
KINGSFORD ELEMENTARY,Maryland,240051000500,Kingsford Elementary,Prince George's County Public Schools
KINGSVIEW MIDDLE,Maryland,240048000863,Kingsview Middle,Montgomery County Public Schools
KINGSVILLE ELEMENTARY,Maryland,240012000413,Kingsville Elementary,Baltimore County Public Schools
KIPP HARMONY ACADEMY,Maryland,240009001681,KIPP Harmony Academy,Baltimore City Public Schools
LA PLATA HIGH SCHOOL,Maryland,240027000596,La Plata High School,Charles County Public Schools
LAKE ARBOR ELEMENTARY,Maryland,240051001217,Lake Arbor Elementary,Prince George's County Public Schools
LAKE ELKHORN MIDDLE,Maryland,240042001700,Lake Elkhorn Middle,Howard County Public Schools
LAKE SENECA ELEMENTARY,Maryland,240048001448,Lake Seneca Elementary,Montgomery County Public Schools
LAKE SHORE ELEMENTARY,Maryland,240006000085,Lake Shore Elementary,Anne Arundel County Public Schools
LAKELAND ELEMENTARY/MIDDLE,Maryland,240009000264,Lakeland Elementary/Middle,Baltimore City Public Schools
LAKELANDS PARK MIDDLE,Maryland,240048001441,Lakelands Park Middle,Montgomery County Public Schools
LAKEWOOD ELEMENTARY,Maryland,240009000265,Lakewood Elementary,Baltimore City Public Schools
LAKEWOOD ELEMENTARY,Maryland,240048000862,Lakewood Elementary,Montgomery County Public Schools
LAMONT ELEMENTARY,Maryland,240051001085,Lamont Elementary,Prince George's County Public Schools
LANGLEY PARK/MCCORMICK ELEMENTARY,Maryland,240051001087,Langley Park/McCormick Elementary,Prince George's County Public Schools
LANSDOWNE ELEMENTARY,Maryland,240012000415,Lansdowne Elementary,Baltimore County Public Schools
LANSDOWNE HIGH,Maryland,240012000416,Lansdowne High & Academy of Finance,Baltimore County Public Schools
LANSDOWNE MIDDLE,Maryland,240012000417,Lansdowne Middle,Baltimore County Public Schools
LARGO HIGH,Maryland,240051001089,Largo High,Prince George's County Public Schools
LAUREL ELEMENTARY,Maryland,240051001090,Laurel Elementary,Prince George's County Public Schools
LAUREL HIGH,Maryland,240051001092,Laurel High,Prince George's County Public Schools
LAUREL WOODS ELEMENTARY,Maryland,240042000761,Laurel Woods Elementary,Howard County Public Schools
LAYTONSVILLE ELEMENTARY,Maryland,240048000864,Laytonsville Elementary,Montgomery County Public Schools
LEEDS ELEMENTARY,Maryland,240024000572,Leeds Elementary,Cecil County Public Schools
LEITH WALK ELEMENTARY/MIDDLE,Maryland,240009000268,Leith Walk Elementary/Middle,Baltimore City Public Schools
LEONARDTOWN ELEMENTARY,Maryland,240060001228,Leonardtown Elementary,St. Mary's County Public Schools
LEONARDTOWN HIGH,Maryland,240060001356,Leonardtown High,St. Mary's County Public Schools
LEONARDTOWN MIDDLE,Maryland,240060001229,Leonardtown Middle,St. Mary's County Public Schools
LETTIE MARSHALL DENT ELEM,Maryland,240060001399,Lettie Marshall Dent Elem,St. Mary's County Public Schools
LEWISDALE ELEMENTARY,Maryland,240051001093,Lewisdale Elementary,Prince George's County Public Schools
LEWISTOWN ELEMENTARY,Maryland,240033000636,Lewistown Elementary,Frederick County Public Schools
LEXINGTON PARK ELEMENTARY,Maryland,240060001230,Lexington Park Elementary,St. Mary's County Public Schools
LIBERTY ELEMENTARY,Maryland,240009000270,Liberty Elementary,Baltimore City Public Schools
LIBERTY ELEMENTARY,Maryland,240033000637,Liberty Elementary,Frederick County Public Schools
LIBERTY HIGH,Maryland,240021001394,Liberty High,Carroll County Public Schools
LILLIE MAY CARROLL JACKSON SCHOOL,MARYLAND,240009001734,Lillie May Carroll Jackson School,Baltimore City Public Schools
LIME KILN MIDDLE,Maryland,240042001115,Lime Kiln Middle,Howard County Public Schools
LINCOLN ELEMENTARY,Maryland,240033000649,Lincoln Elementary,Frederick County Public Schools
LINCOLNSHIRE ELEMENTARY,Maryland,240066001273,Lincolnshire Elementary,Washingtion County Public Schools
LINDALE MIDDLE,Maryland,240006000087,Lindale Middle,Anne Arundel County Public Schools
LINGANORE HIGH,Maryland,240033000638,Linganore High,Frederick County Public Schools
LINTHICUM ELEMENTARY,Maryland,240006000088,Linthicum Elementary,Anne Arundel County Public Schools
LINTON SPRINGS ELEMENTARY,Maryland,240021000977,Linton Springs Elementary,Carroll County Public Schools
LISBON ELEMENTARY,Maryland,240042000741,Lisbon Elementary,Howard County Public Schools
LITTLE BENNETT ELEMENTARY,Maryland,240048001543,Little Bennett Elementary,Montgomery County Public Schools
LOCH RAVEN HIGH,Maryland,240012000420,Loch Raven High,Baltimore County Public Schools
LOCH RAVEN TECHNICAL ACADEMY,Maryland,240012000419,Loch Raven Technical Academy,Baltimore County Public Schools
LOCKERMAN BUNDY ELEMENTARY,Maryland,240009000260,Lockerman Bundy Elementary,Baltimore City Public Schools
LOCKERMAN MIDDLE SCHOOL,Maryland,240018000526,Lockerman Middle School,Caroline County Public Schools
LOGAN ELEMENTARY,Maryland,240012000421,Logan Elementary,Baltimore County Public Schools
LOIS P. ROCKWELL ELEMENTARY,Maryland,240048000185,Lois P. Rockwell Elementary,Montgomery County Public Schools
LOIS T. MURRAY ELEMENTARY/MIDDLE,Maryland,240009001364,Lois T. Murray Elementary/Middle,Baltimore City Public Schools
LONG REACH HIGH,Maryland,240042000822,Long Reach High,Howard County Public Schools
LONGFELLOW ELEMENTARY,Maryland,240042000742,Longfellow Elementary,Howard County Public Schools
LONGFIELDS ELEMENTARY,Maryland,240051001094,Longfields Elementary,Prince George's County Public Schools
LONGVIEW SCHOOL,Maryland,240048000867,Longview School,Montgomery County Public Schools
LOTHIAN ELEMENTARY,Maryland,240006000089,Lothian Elementary,Anne Arundel County Public Schools
LUCY V. BARNSLEY ELEMENTARY,Maryland,240048000868,Lucy V. Barnsley Elementary,Montgomery County Public Schools
LUTHERVILLE LABORATORY,Maryland,240012000350,Lutherville Laboratory,Baltimore County Public Schools
LUXMANOR ELEMENTARY,Maryland,240048000869,Luxmanor Elementary,Montgomery County Public Schools
LYONS MILL ELEMENTARY,MARYLAND,240012001730,Lyons Mill Elementary,Baltimore County Public Schools
MACARTHUR MIDDLE,Maryland,240006000090,MacArthur Middle,Anne Arundel County Public Schools
MACE'S LANE MIDDLE SCHOOL,Maryland,240030001423,Mace's Lane Middle School,Dorchester County Public Schools
MAGNOLIA ELEMENTARY,Maryland,240039000706,Magnolia Elementary,Harford County Public Schools
MAGNOLIA ELEMENTARY,Maryland,240051001097,Magnolia Elementary,Prince George's County Public Schools
MAGNOLIA MIDDLE,Maryland,240039001352,Magnolia Middle,Harford County Public Schools
MAGOTHY RIVER MIDDLE,Maryland,240006000091,Magothy River Middle,Anne Arundel County Public Schools
MAIDEN CHOICE SCHOOL,Maryland,240012000466,Maiden Choice School,Baltimore County Public Schools
MALCOLM ELEMENTARY SCHOOL,Maryland,240027000598,Malcolm Elementary School,Charles County Public Schools
MANCHESTER ELEMENTARY,Maryland,240021000536,Manchester Elementary,Carroll County Public Schools
MANCHESTER VALLEY HIGH,Maryland,240021001672,Manchester Valley High,Carroll County Public Schools
MANOR VIEW ELEMENTARY,Maryland,240006000092,Manor View Elementary,Anne Arundel County Public Schools
MANOR WOODS ELEMENTARY,Maryland,240042000488,Manor Woods Elementary,Howard County Public Schools
MAPLE ELEMENTARY SCHOOL,Maryland,240030000617,Maple Elementary School,Dorchester County Public Schools
MARDELA MIDDLE & HIGH,Maryland,240069001306,Mardela Middle & High,Wicomico County Public Schools
MAREE GARNETT FARRING ELEMENTARY/MIDDLE,Maryland,240009001363,Maree Garnett Farring Elementary/Middle,Baltimore City Public Schools
MARGARET BRENT ELEMENTARY/MIDDLE,Maryland,240009000276,Margaret Brent Elementary/Middle,Baltimore City Public Schools
MARGARET BRENT MIDDLE,Maryland,240060001231,Margaret Brent Middle,St. Mary's County Public Schools
MARGARET BRENT REGIONAL CENTER,Maryland,240051001419,Margaret Brent Regional Center,Prince George's County Public Schools
MARLEY ELEMENTARY,Maryland,240006000093,Marley Elementary,Anne Arundel County Public Schools
MARLEY GLEN SCHOOL,Maryland,240006000094,Marley Glen School,Anne Arundel County Public Schools
MARLEY MIDDLE,Maryland,240006000095,Marley Middle,Anne Arundel County Public Schools
MARLTON ELEMENTARY,Maryland,240051001100,Marlton Elementary,Prince George's County Public Schools
MARRIOTTS RIDGE HIGH,Maryland,240042001437,Marriotts Ridge High,Howard County Public Schools
MARS ESTATES ELEMENTARY,Maryland,240012000424,Mars Estates Elementary,Baltimore County Public Schools
MARSHALL STREET SCHOOL,Maryland,240066001289,Marshall Street School,Washingtion County Public Schools
MARTIN BOULEVARD ELEMENTARY,Maryland,240012000425,Martin Boulevard Elementary,Baltimore County Public Schools
MARTIN LUTHER KING JR. MIDDLE,Maryland,240051001101,Martin Luther King Jr. Middle,Prince George's County Public Schools
MARTIN LUTHER KING JR. MIDDLE,Maryland,240048001417,Martin Luther King Jr. Middle,Montgomery County Public Schools
MARY ANN WINTERLING ELEMENTARY AT BENTALOU,Maryland,240009000158,Mary Ann Winterling Elementary at Bentalou,Baltimore City Public Schools
MARY B. NEAL ELEMENTARY SCHOOL,Maryland,240027001656,Mary B. Neal Elementary School,Charles County Public Schools
MARY E. RODMAN ELEMENTARY,Maryland,240009000277,Mary E. Rodman Elementary,Baltimore City Public Schools
MARY H. MATULA ELEMENTARY SCHOOL,Maryland,240027000141,Mary H. Matula Elementary School,Charles County Public Schools
MARY HARRIS MOTHER JONES ELEMENTARY,Maryland,240051001257,Mary Harris "Mother" Jones Elementary,Prince George's County Public Schools
MARY MOSS AT ADAMS ACADEMY,MARYLAND,240006001729,Mary Moss at Adams Academy,Anne Arundel County Public Schools
MARYLAND CITY ELEMENTARY,Maryland,240006000096,Maryland City Elementary,Anne Arundel County Public Schools
MARYVALE ELEMENTARY,Maryland,240048000872,Maryvale Elementary,Montgomery County Public Schools
MATAPEAKE ELEMENTARY SCHOOL,Maryland,240054001557,Matapeake Elementary School,Queen Anne's County Public Schools
MATAPEAKE MIDDLE SCHOOL,Maryland,240054001644,Matapeake Middle School,Queen Anne's County Public Schools
MATTAPONI ELEMENTARY,Maryland,240051001103,Mattaponi Elementary,Prince George's County Public Schools
MATTAWOMAN MIDDLE SCHOOL,Maryland,240027000615,Mattawoman Middle School,Charles County Public Schools
MATTHEW A. HENSON ELEMENTARY,Maryland,240009000278,Matthew A. Henson Elementary,Baltimore City Public Schools
MATTHEW HENSON MIDDLE SCHOOL,Maryland,240027000599,Matthew Henson Middle School,Charles County Public Schools
MAUGANSVILLE ELEMENTARY,Maryland,240066001274,Maugansville Elementary,Washingtion County Public Schools
MAURICE J. MCDONOUGH HIGH SCHOOL,Maryland,240027000600,Maurice J. McDonough High School,Charles County Public Schools
MAYA ANGELOU FRENCH IMMERSION,Maryland,240051001554,Maya Angelou French Immersion,Prince George's County Public Schools
MAYFIELD WOODS MIDDLE,Maryland,240042090477,Mayfield Woods Middle,Howard County Public Schools
MAYO ELEMENTARY,Maryland,240006000097,Mayo Elementary,Anne Arundel County Public Schools
MAYS CHAPEL ELEMENTARY,MARYLAND,240012001722,Mays Chapel Elementary,Baltimore County Public Schools
MCCORMICK ELEMENTARY,Maryland,240012000426,McCormick Elementary,Baltimore County Public Schools
MCPS TRANSITIONS SCHOOL,Maryland,240048001365,MCPS Transitions School,Montgomery County Public Schools
MEADE HEIGHTS ELEMENTARY,Maryland,240006000098,Meade Heights Elementary,Anne Arundel County Public Schools
MEADE HIGH,Maryland,240006000099,Meade High,Anne Arundel County Public Schools
MEADE MIDDLE,Maryland,240006000823,Meade Middle,Anne Arundel County Public Schools
MEADOW HALL ELEMENTARY,Maryland,240048000874,Meadow Hall Elementary,Montgomery County Public Schools
MEADOWOOD EDUCATION CENTER,Maryland,240012000777,Meadowood Education Center,Baltimore County Public Schools
MEADOWVALE ELEMENTARY,Maryland,240039000707,Meadowvale Elementary,Harford County Public Schools
MECHANICSVILLE ELEMENTARY,Maryland,240021000537,Mechanicsville Elementary,Carroll County Public Schools
MECHANICSVILLE ELEMENTARY,Maryland,240060001232,Mechanicsville Elementary,St. Mary's County Public Schools
MEDFIELD HEIGHTS ELEMENTARY,Maryland,240009000279,Medfield Heights Elementary,Baltimore City Public Schools
MELWOOD ELEMENTARY,Maryland,240051001106,Melwood Elementary,Prince George's County Public Schools
MERGENTHALER VOCATIONAL-TECHNICAL HIGH,Maryland,240009000280,Mergenthaler Vocational-Technical High,Baltimore City Public Schools
MIDDLE RIVER MIDDLE,Maryland,240012001440,Middle River Middle,Baltimore County Public Schools
MIDDLEBOROUGH ELEMENTARY,Maryland,240012000429,Middleborough Elementary,Baltimore County Public Schools
MIDDLESEX ELEMENTARY,Maryland,240012000430,Middlesex Elementary,Baltimore County Public Schools
MIDDLETON VALLEY ACADEMY,Maryland,240051001544,Turning Point Academy Public Charter,Prince George's County Public Schools
MIDDLETOWN ELEMENTARY,Maryland,240033000639,Middletown Elementary,Frederick County Public Schools
MIDDLETOWN HIGH,Maryland,240033000641,Middletown High,Frederick County Public Schools
MIDDLETOWN MIDDLE,Maryland,240033000640,Middletown Middle,Frederick County Public Schools
MIDDLETOWN PRIMARY,Maryland,240033001566,Middletown Primary,Frederick County Public Schools
MIDTOWN ACADEMY,Maryland,240009000883,Midtown Academy,Baltimore City Public Schools
MILBROOK ELEMENTARY,Maryland,240012000431,Milbrook Elementary,Baltimore County Public Schools
MILFORD MILL ACADEMY,Maryland,240012000432,Milford Mill Academy,Baltimore County Public Schools
MILL CREEK MIDDLE,Maryland,240015002946,Mill Creek Middle,Calvert County Public Schools
MILL CREEK TOWNE ELEMENTARY,Maryland,240048000875,Mill Creek Towne Elementary,Montgomery County Public Schools
MILLERSVILLE ELEMENTARY,Maryland,240006000100,Millersville Elementary,Anne Arundel County Public Schools
MILTON M. SOMERS MIDDLE SCHOOL,Maryland,240027000601,Milton M. Somers Middle School,Charles County Public Schools
MONARCH ACADEMY,Maryland,240006001687,Monarch Academy,Anne Arundel County Public Schools
MONARCH ACADEMY ANNAPOLIS ES,MARYLAND,240006001744,Monarch Academy Annapolis ES,Anne Arundel County Public Schools
MONARCH ACADEMY PUBLIC CHARTER SCHOOL,Maryland,240009001702,Monarch Academy Public Charter School,Baltimore City Public Schools
MONARCH GLOBAL ACADEMY PCS LAUREL CAMPUS,MARYLAND,240006001724,Monarch Global Academy PCS Laurel Campus,Anne Arundel County Public Schools
MONOCACY ELEMENTARY,Maryland,240048000876,Monocacy Elementary,Montgomery County Public Schools
MONOCACY ELEMENTARY,Maryland,240033001521,Monocacy Elementary,Frederick County Public Schools
MONOCACY MIDDLE,Maryland,240033001413,Monocacy Middle,Frederick County Public Schools
MONOCACY VALLEY MONTESSORI,Maryland,240033001187,Monocacy Valley Montessori School,Frederick County Public Schools
MONTEBELLO ELEMENTARY/MIDDLE,Maryland,240009000281,Montebello Elementary/Middle,Baltimore City Public Schools
MONTGOMERY BLAIR HIGH,Maryland,240048000877,Montgomery Blair High,Montgomery County Public Schools
MONTGOMERY KNOLLS ELEMENTARY,Maryland,240048000878,Montgomery Knolls Elementary,Montgomery County Public Schools
MONTGOMERY VILLAGE MIDDLE,Maryland,240048000879,Montgomery Village Middle School,Montgomery County Public Schools
MONTPELIER ELEMENTARY,Maryland,240051001108,Montpelier Elementary,Prince George's County Public Schools
MORAVIA PARK ELEMENTARY,Maryland,240009000282,Moravia Park Elementary,Baltimore City Public Schools
MORRELL PARK ELEMENTARY/MIDDLE,Maryland,240009000284,Morrell Park Elementary/Middle,Baltimore City Public Schools
MOUNT AIRY ELEMENTARY,Maryland,240021000538,Mount Airy Elementary,Carroll County Public Schools
MOUNT AIRY MIDDLE,Maryland,240021000539,Mount Airy Middle,Carroll County Public Schools
MOUNT HARMONY ELEMENTARY,Maryland,240015000513,Mount Harmony Elementary,Calvert County Public Schools
MOUNT HEBRON HIGH,Maryland,240042000743,Mount Hebron High,Howard County Public Schools
MOUNT ROYAL ELEMENTARY/MIDDLE,Maryland,240009000285,Mount Royal Elementary/Middle,Baltimore City Public Schools
MOUNT SAVAGE MIDDLE,Maryland,240003000023,Mount Savage Middle,Allegany County Public Schools
MOUNT VIEW MIDDLE,Maryland,240042000403,Mount View Middle,Howard County Public Schools
MOUNTAIN RIDGE HIGH SCHOOL,Maryland,240003001636,Mountain Ridge High School,Allegany County Public Schools
MT HOPE/NANJEMOY ELEMENTARY SCHOOL,Maryland,240027001492,Mt Hope/Nanjemoy Elementary School,Charles County Public Schools
MT RAINIER ELEMENTARY,Maryland,240051001110,Mt Rainier Elementary,Prince George's County Public Schools
MT. SAVAGE ELEMENTARY,Maryland,240003001546,Mt. Savage Elementary,Allegany County Public Schools
