SchoolN,State Name,NCESSCH,School Name,Agency Name
EDWARD M. FELEGY ES,MARYLAND,240051001723,Edward M. Felegy ES,Prince George's County Public Schools
ELDERSBURG ELEMENTARY,Maryland,240021000531,Eldersburg Elementary,Carroll County Public Schools
ELEANOR ROOSEVELT HIGH,Maryland,240051001027,Eleanor Roosevelt High,Prince George's County Public Schools
ELK NECK ELEMENTARY,Maryland,240024090468,Elk Neck Elementary,Cecil County Public Schools
ELKRIDGE ELEMENTARY,Maryland,240042000728,Elkridge Elementary,Howard County Public Schools
ELKRIDGE LANDING MIDDLE,Maryland,240042000633,Elkridge Landing Middle,Howard County Public Schools
ELKTON HIGH,Maryland,240024000568,Elkton High,Cecil County Public Schools
ELKTON MIDDLE,Maryland,240024000567,Elkton Middle,Cecil County Public Schools
ELLICOTT MILLS MIDDLE,Maryland,240042001444,Ellicott Mills Middle,Howard County Public Schools
ELMER A. HENDERSON: A JOHNS HOPKINS PARTNERSHIP,Maryland,240009001670,Elmer A. Henderson: Johns Hopkins Partner School,Baltimore City Public Schools
ELMER A. WOLFE ELEMENTARY,Maryland,240021000532,Elmer A. Wolfe Elementary,Carroll County Public Schools
ELMWOOD ELEMENTARY,Maryland,240012000383,Elmwood Elementary,Baltimore County Public Schools
EMMA K. DOUB ELEMENTARY,Maryland,240066001264,Emma K. Doub Elementary,Washingtion County Public Schools
EMMITSBURG ELEMENTARY,Maryland,240033000631,Emmitsburg Elementary,Frederick County Public Schools
EMMORTON ELEMENTARY,Maryland,240039000485,Emmorton Elementary,Harford County Public Schools
EMPOWERMENT ACADEMY,Maryland,240009001558,Empowerment Academy,Baltimore City Public Schools
ERNEST EVERETT JUST MIDDLE,Maryland,240051001223,Ernest Everett Just Middle,Prince George's County Public Schools
ESPERANZA MIDDLE,Maryland,240060001220,Esperanza Middle,St. Mary's County Public Schools
ESSEX ELEMENTARY,Maryland,240012000384,Essex Elementary,Baltimore County Public Schools
EUTAW-MARSHBURN ELEMENTARY,Maryland,240009000196,Eutaw-Marshburn Elementary,Baltimore City Public Schools
EVA TURNER ELEMENTARY SCHOOL,Maryland,240027000586,Eva Turner Elementary School,Charles County Public Schools
EVENING HIGH SCHOOL,Maryland,240066001086,Evening High School,Washingtion County Public Schools
EVERGREEN ELEMENTARY SCHOOL,Maryland,240060001685,Evergreen Elementary School,St. Mary's County Public Schools
EWELL SCHOOL,Maryland,240057001203,Ewell School,Somerset County Public Schools
EXCEL ACADEMY AT FRANCIS M. WOOD HIGH,Maryland,240009001343,Excel Academy @ Francis M. Wood High,Baltimore City Public Schools
EXCEL ACADEMY PUBLIC CHARTER,Maryland,240051001540,Excel Academy Public Charter,Prince George's County Public Schools
EXTENDED DAY LEARNING PROGRAM,Maryland,240012000917,Extended Day Learning Program,Baltimore County Public Schools
F. B. GWYNN EDUCATIONAL CENTER,Maryland,240027001162,F. B. Gwynn Educational Center,Charles County Public Schools
FAIRLAND ELEMENTARY,Maryland,240048000826,Fairland Elementary,Montgomery County Public Schools
FAIRMONT HEIGHTS HIGH,Maryland,240051001029,Fairmont Heights High,Prince George's County Public Schools
FALLSMEAD ELEMENTARY,Maryland,240048000827,Fallsmead Elementary,Montgomery County Public Schools
FALLSTAFF ELEMENTARY/MIDDLE,Maryland,240009000199,Fallstaff Elementary/Middle,Baltimore City Public Schools
FALLSTON HIGH,Maryland,240039000691,Fallston High,Harford County Public Schools
FALLSTON MIDDLE SCHOOL,Maryland,240039090475,Fallston Middle School,Harford County Public Schools
FARMLAND ELEMENTARY,Maryland,240048000828,Farmland Elementary,Montgomery County Public Schools
FEATHERBED LANE ELEMENTARY,Maryland,240012000385,Featherbed Lane Elementary,Baltimore County Public Schools
FEDERAL HILL PREPARATORY ACADEMY,Maryland,240009000201,Federal Hill Preparatory School,Baltimore City Public Schools
FEDERALSBURG ELEMENTARY SCHOOL,Maryland,240018000521,Federalsburg Elementary School,Caroline County Public Schools
FERNDALE EARLY EDUCATION CENTER,Maryland,240006000066,Ferndale Early Education Center,Anne Arundel County Public Schools
FIELDS ROAD ELEMENTARY,Maryland,240048000829,Fields Road Elementary,Montgomery County Public Schools
FIFTH DISTRICT ELEMENTARY,Maryland,240012000386,Fifth District Elementary,Baltimore County Public Schools
FLEXIBLE STUDENT SUPPORT,Maryland,240021001350,Flexible Student Support,Carroll County Public Schools
FLINTSTONE ELEMENTARY,Maryland,240051001030,Flintstone Elementary,Prince George's County Public Schools
FLINTSTONE ELEMENTARY,Maryland,240003000014,Flintstone Elementary,Allegany County Public Schools
FLORA M. SINGER ELEMENTARY,Maryland,240048000873,Flora M. Singer Elementary School,Montgomery County Public Schools
FLOWER HILL ELEMENTARY,Maryland,240048001454,Flower Hill Elementary,Montgomery County Public Schools
FLOWER VALLEY ELEMENTARY,Maryland,240048000830,Flower Valley Elementary,Montgomery County Public Schools
FOLGER MCKINSEY ELEMENTARY,Maryland,240006000067,Folger Mckinsey Elementary,Anne Arundel County Public Schools
FOLLY QUARTER MIDDLE,Maryland,240042001552,Folly Quarter Middle,Howard County Public Schools
FOREST HEIGHTS ELEMENTARY,Maryland,240051001031,Forest Heights Elementary,Prince George's County Public Schools
FOREST HILL ELEMENTARY,Maryland,240039002948,Forest Hill Elementary,Harford County Public Schools
FOREST KNOLLS ELEMENTARY,Maryland,240048000832,Forest Knolls Elementary,Montgomery County Public Schools
FOREST LAKES ELEMENTARY,Maryland,240039000692,Forest Lakes Elementary,Harford County Public Schools
FOREST OAK MIDDLE,Maryland,240048000644,Forest Oak Middle,Montgomery County Public Schools
FOREST PARK HIGH,Maryland,240009000203,Forest Park High,Baltimore City Public Schools
FOREST RIDGE ELEMENTARY,Maryland,240042000177,Forest Ridge Elementary,Howard County Public Schools
FORT FOOTE ELEMENTARY,Maryland,240051001033,Fort Foote Elementary,Prince George's County Public Schools
FORT GARRISON ELEMENTARY,Maryland,240012000387,Fort Garrison Elementary,Baltimore County Public Schools
FORT HILL HIGH,Maryland,240003000015,Fort Hill High,Allegany County Public Schools
FORT SMALLWOOD ELEMENTARY,Maryland,240006000068,Fort Smallwood Elementary,Anne Arundel County Public Schools
FORT WASHINGTON FOREST ELEMENTARY,Maryland,240051001039,Fort Washington Forest Elementary,Prince George's County Public Schools
FORT WORTHINGTON ELEMENTARY/MIDDLE,Maryland,240009000204,Fort Worthington Elementary/Middle,Baltimore City Public Schools
FOUNTAIN GREEN ELEMENTARY,Maryland,240039000394,Fountain Green Elementary,Harford County Public Schools
FOUNTAIN ROCK ELEMENTARY,Maryland,240066001265,Fountain Rock Elementary,Washingtion County Public Schools
FOUNTAINDALE ELEMENTARY,Maryland,240066001266,Fountaindale Elementary,Washingtion County Public Schools
FOUR SEASONS ELEMENTARY,Maryland,240006000069,Four Seasons Elementary,Anne Arundel County Public Schools
